Nawisko aktualne,Liczba
JAKUBIEC,3836
ROKICKI,3833
PASZKIEWICZ,3832
JANCZAK,3831
BUGAJSKI,3824
PLICHTA,3824
DZIURA,3818
KOZAKIEWICZ,3816
WRZOSEK,3816
PĘKALA,3812
OLSZAK,3803
AMBROZIAK,3799
KULPA,3794
WAJDA,3790
CIOŁEK,3783
MAJKOWSKI,3783
RACZKOWSKI,3783
BIAŁECKI,3781
SUCHECKI,3773
WASIELEWSKI,3773
DUTKIEWICZ,3772
DZIKOWSKI,3769
KAŹMIERSKI,3769
CZARNOTA,3768
PISAREK,3768
SZPAK,3765
RADZISZEWSKI,3763
WOJTOWICZ,3759
WYRZYKOWSKI,3756
ADAMCZEWSKI,3755
BUGAJ,3748
KAWALEC,3745
KUPIEC,3743
KOKOSZKA,3738
LANGE,3723
GŁADYSZ,3716
KOKOT,3713
ROMAŃSKI,3711
KAROLAK,3703
RODAK,3701
GOLIŃSKI,3698
PISZCZEK,3693
BARSZCZ,3691
DOLATA,3691
KALIŃSKI,3689
PUCHAŁA,3689
MĄCZKA,3686
WIELGUS,3682
BANASZAK,3675
WOJTASZEK,3673
FIGURA,3669
KOCHAŃSKI,3668
KONARSKI,3667
GOŁĄBEK,3666
JASKULSKI,3665
SUŁKOWSKI,3665
BILIŃSKI,3657
SZYMANOWSKI,3656
GABRYŚ,3655
SOLECKI,3650
BIELA,3647
BOJARSKI,3639
STOKŁOSA,3639
ZAPAŁA,3636
OŻÓG,3633
SMOLAREK,3632
BRODOWSKI,3631
FERENC,3621
ŁACH,3621
ORZEŁ,3620
KOLASIŃSKI,3617
PŁATEK,3617
WASZKIEWICZ,3614
CICHOSZ,3612
GARBACZ,3607
OSOWSKI,3607
LASEK,3603
PIERZCHAŁA,3602
BALICKI,3601
PIECHOCKI,3600
CZUBA,3591
PISKORZ,3591
KOPROWSKI,3586
MACH,3585
BRZESKI,3584
POTOCKI,3584
SZCZYGIELSKI,3583
SZYMANIAK,3583
CHROBAK,3577
PASEK,3572
STĘPNIEWSKI,3569
SCHMIDT,3567
TRACZYK,3562
BERNAT,3561
SUROWIEC,3561
ŚWIERCZEK,3561
RÓG,3559
FRANCZAK,3557
MĄDRY,3556
DOLIŃSKI,3553
KEMPA,3553
ZBOROWSKI,3552
PLEWA,3551
PARADOWSKI,3550
BUREK,3547
SUDOŁ,3547
KOSTKA,3540
WDOWIAK,3537
PIĘTA,3529
GRUCA,3528
PASZEK,3528
JAMRÓZ,3525
LOREK,3524
GRELA,3523
FILIPCZAK,3521
OSUCH,3519
WAGNER,3516
MATUSIK,3513
BURDA,3510
GÓRALCZYK,3507
JAROSZEWSKI,3506
WALCZYK,3502
BŁOŃSKI,3499
KRAUZE,3498
ŚWITAŁA,3496
ĆWIK,3494
STACHOWSKI,3492
SALA,3490
ZARĘBSKI,3489
KOZERA,3483
KAPICA,3481
SZADKOWSKI,3481
DRĄG,3479
FIGIEL,3479
OKOŃ,3478
WĄSOWSKI,3478
WÓJCIAK,3477
OLEŚ,3476
CZAPLIŃSKI,3475
PANASIUK,3474
LACHOWICZ,3473
ANTONIAK,3472
KWAŚNY,3470
ŁAWNICZAK,3470
KOŁODZIEJCZAK,3469
MODRZEJEWSKI,3469
ŁOŚ,3466
WŁOCH,3465
ZAWISTOWSKI,3460
WALIGÓRA,3459
BROŻEK,3458
BARON,3457
MROWIEC,3457
WACHOWIAK,3454
GROBELNY,3452
MULARCZYK,3452
BATOR,3451
ĆWIKLIŃSKI,3451
NALEPA,3451
GRABSKI,3450
PÓŁTORAK,3450
SKWAREK,3449
NADOLNY,3447
OGÓREK,3443
MYŚLIWIEC,3437
NIEZGODA,3437
JEDYNAK,3421
GAJ,3416
GAZDA,3414
GAŁECKI,3413
NADOLSKI,3408
MIŚ,3389
KULIKOWSKI,3386
KOZYRA,3384
BIEL,3382
GLIŃSKI,3381
BERNACKI,3377
KOŚCIELNIAK,3371
SITKO,3371
IWANOWSKI,3363
BOROŃ,3356
MORAWIEC,3356
DOBRZAŃSKI,3352
ZAWISZA,3348
KRASKA,3346
KRÓLIK,3346
GRYGIEL,3342
MAJDA,3342
MŁYNARSKI,3341
WINNICKI,3341
KOCHANOWSKI,3339
PASTUSZKA,3337
BARTNICKI,3334
JASKÓLSKI,3334
BŁAŻEJEWSKI,3332
BIEŃ,3331
PRZYBYSZEWSKI,3328
MIECZKOWSKI,3323
STENCEL,3322
GALIŃSKI,3319
KOSTRZEWSKI,3319
KLIMAS,3317
KAZIMIERCZAK,3311
KOZICKI,3310
SZWEDA,3310
OZGA,3308
DUSZA,3303
WYDRA,3303
NOSAL,3302
SZCZEPANEK,3298
BOGDAN,3294
DOMAGALSKI,3290
WEBER,3284
KLUSKA,3280
SPYCHAŁA,3280
BŁASZKIEWICZ,3279
MATCZAK,3279
ZASADA,3272
WIELGOSZ,3269
KLIMASZEWSKI,3267
WCISŁO,3266
JANECZEK,3264
GALAS,3261
IWANICKI,3261
BARTOSIEWICZ,3259
FRANKIEWICZ,3254
PIETRZYKOWSKI,3253
TYMIŃSKI,3253
LEMAŃSKI,3252
SOBOŃ,3248
STOPA,3248
ZAWIŚLAK,3235
SKORUPSKI,3234
BUDA,3233
SOBOCIŃSKI,3231
RYBA,3229
WALAS,3224
KĄKOL,3222
GAJEK,3218
TABOR,3214
SARNOWSKI,3205
ŚWIERCZ,3199
SZAFRAN,3198
WISZNIEWSKI,3198
KULAS,3196
MARCZEWSKI,3196
MISZCZAK,3196
GUZ,3190
KOŁACZ,3190
TURSKI,3186
ŁAKOMY,3181
RYBIŃSKI,3179
MIREK,3176
MUSIOŁ,3174
CZERWONKA,3172
MACHNIK,3172
ŚLIWKA,3168
TUSZYŃSKI,3168
PODSIADŁO,3167
BUDNY,3166
ROKITA,3165
STRZAŁKOWSKI,3165
RYCHLIK,3163
GOŁASZEWSKI,3161
GIZA,3159
FURTAK,3158
BRYŁA,3157
SŁOMKA,3156
SEWERYN,3151
JACKIEWICZ,3150
WNĘK,3149
MIKUŁA,3148
GAŁUSZKA,3142
KORNACKI,3142
SŁOMIŃSKI,3141
ANTKOWIAK,3139
IWANIUK,3138
SZUBERT,3138
BARTKOWSKI,3130
BOJANOWSKI,3130
CZUBAK,3130
DREWNIAK,3129
KŁOSIŃSKI,3129
JOŃCZYK,3127
LUDWICZAK,3127
NYCZ,3127
PIEŃKOWSKI,3122
RUMIŃSKI,3118
SZCZOTKA,3116
MAKAREWICZ,3115
DWORAK,3109
LEWCZUK,3109
DĘBICKI,3107
CHOJECKI,3105
MIZERA,3103
DANIEL,3100
GÓRALSKI,3099
WILCZEWSKI,3098
MAŁOLEPSZY,3096
MARCINKIEWICZ,3092
SMYK,3088
ZIOMEK,3086
DAWID,3084
RADZIKOWSKI,3084
ŁUGOWSKI,3081
WĘGLARZ,3081
DUDKIEWICZ,3078
SZOSTEK,3078
KALBARCZYK,3075
NAPIÓRKOWSKI,3074
SOBCZYŃSKI,3074
KOMAR,3073
KASPERSKI,3071
PILARCZYK,3070
GĄSKA,3068
KALITA,3066
RĄCZKA,3061
RYBACKI,3061
DUL,3056
CIEŚLIŃSKI,3054
BOROWIAK,3046
MASTALERZ,3046
WIERZCHOWSKI,3045
KREFT,3041
KLONOWSKI,3039
PAJOR,3037
CYRAN,3034
RADWAŃSKI,3031
CHYLIŃSKI,3027
TARKA,3026
WASZAK,3026
IWAN,3023
PISARSKI,3018
WILIŃSKI,3016
PORĘBA,3013
TRUSZKOWSKI,3012
CZAPIEWSKI,3009
KRAUSE,3008
PIEKARZ,3007
WACHOWSKI,3007
OSIECKI,3003
MOTYL,2999
ZIEMBA,2996
SITARZ,2994
GWIAZDA,2993
BABIARZ,2988
OLENDER,2987
ŁUCZYŃSKI,2985
PATER,2984
JELEŃ,2982
BACZYŃSKI,2976
CZAPSKI,2976
TRZASKA,2976
KOBYLIŃSKI,2971
CABAN,2970
KRZAK,2970
CZARNY,2968
SOSIŃSKI,2963
MOSKWA,2962
NEUMANN,2962
KLOC,2960
RYDZEWSKI,2960
SZEWCZUK,2960
GOLONKA,2957
SUCHOCKI,2955
PIWOWAR,2953
TOPOLSKI,2950
BĄCZEK,2949
ZALESKI,2948
ZATORSKI,2946
GREGORCZYK,2942
KRASUSKI,2942
KOZIŃSKI,2939
MATUSZCZAK,2939
JEŻ,2937
MILER,2936
GĄDEK,2934
MACHOWSKI,2930
MALCZEWSKI,2923
MARKOWICZ,2922
MACIASZEK,2921
FRYDRYCH,2920
POPIOŁEK,2920
STAROŃ,2920
DYLEWSKI,2918
DAWIDOWSKI,2917
SAKOWSKI,2914
OSTASZEWSKI,2908
FABISIAK,2896
